url,title,description,frecency,url_hash,last_visit_date
http://www.city-data.com/city/Lorimor-Iowa.html,"Lorimor, Iowa","Follow city-data.com founder on our Forum or@Lech Mazur Lorimor, Iowaadd your We are giving away $1200 in prizes - enter simply by sending us your own city pictures! See promotion details and to upload your Lorimor, Iowa photos OSM Map General Map Google Map MSN Map Population in 2014: 355 (0% urban",5000,83422305832580,1758203931233311
http://www.fitbit.com/foods/Biscuit/11598,"Nutritional Information, Diet Info and Calories in Biscuitfrom Popeye's","""Restaurant Menu Items. Fast Food / Breads, Muffins, Crackers Nutritional Information, Diet Info and Calories in Biscuitfrom Popeye's Nutrition Facts Serving Size 1 biscuit Amount Per Serving Calories 225 Calories from Fat 110% Daily Value *Total Fat 12g 18%Saturated Fat 4g 20%Trans Fat 0g Cholester",4997,51936956580081,1758203928971311
https://medivizor.com/blog/SampleLibrary/urinary-incontinence/does-depression-impact-treatment-outcomes-of-vaginal-sling-procedures/,Does depression impact treatment outcomes of vaginal sling procedures?,"Does depression impact treatment outcomes of vaginal sling procedures? Posted by Medivizor on Aug 29, 2016 in Urinary incontinence | 0 comments Share In a nutshell This study examined the link between depression and treatment outcomes of vaginal sling procedures. Researchers reported greater improve",4995,73408282949814,1758203929955311
http://www.ibsgroup.org/forums/topic/54350-what-to-eat-before-colonscopyhelp/,What to eat before Colonscopy...HELP,#1Music Fan New Member Members15 posts Posted 02 March 2007 - 10:12 AMAdvertisement I have heard so many different things about what to eat/ not to eat before my colonscopy next week. Can someone shed some light on this? I know I can have broth but can I have beef broth? What about Jello and pudding,4994,57343653210079,1758203930529311
https://healthfully.com/body-systems-work-together-5292418.html,How Do the Systems of the Body Work Together?,"""How Do the Systems of the Body Work Together? By Jay Leone; Updated July 27, 2017Related Articles How Does the Excretory System Work With Other Systems in the Body? Parkinson's Disease & Urinary Tract Infections How to Use Apple Cider Vinegar as a Home Remedy Massage Therapy to Relax & Unwind The S",4992,78456883690579,1758203931255311
http://www.popularmechanics.com/military/navy-ships/g2412/a-global-roundup-of-aircraft-carriers/,Here Is Every Aircraft Carrier in the World,"""By Kyle Mizokami Jan 25, 2016 3.3k Only a handful of countries have aircraft carriers in their arsenals. They form an exclusive club, one whose members who have decided their interests stretch so far from their own waters they need to put air power at sea. Broadly speaking, there are three kinds of",4991,64108654798917,1758203930631311
http://www.medhelp.org/posts/Dermatology/How-do-I-get-rid-of-this-rash-on-my-lips/show/1963151,How do I get rid of this rash on my lips?,"How do I get rid of this rash on my lips?llrrss Have a look at the photo, I have had this rash around my lips on and off for 2 years. It is around my lips 6/7 days of the week. It's sometimes dry, sometimes itchy because of irritation, It's sometimes more red or more pink some days. Certain things I",4987,8573405617433,1758203930251311
http://www.lifescript.com/health/centers/osteoarthritis/related_conditions/rotator_cuff_injury.aspx,Rotator Cuff Injury,"Rotator Cuff Injury (Rotator Cuff Tear; Impingement Syndrome)by Mary Calvagna, MSBe first to comment RATECurrently 3/5 Stars. 1 2 3 4 5Print PREVIOUS NEXTDefinition Rotator cuff injury may include tendinitis, strain, or tear of the rotator cuff. The rotator cuff is made up of muscles and four separa",4987,20081178704647,1758203929435311
https://powerofattorney.uslegal.com/types-of-power-of-attorney/,Types of Power of Attorney,Types of Power of Attorney General Power of Attorney A general power of attorney is one that permits the agent to conduct practically every kind of business or financial transaction—with the principal’s assets—without any restraints. Because of the great harm to the principal’s financial well-being ,4979,75833677553090,1758203928721311
http://www.newsmax.com/FastFeatures/felons-voting-rights/2015/04/15/id/638743/,Voting Rights: 6 Reasons Ex-Felons Shouldn't Vote,"Home | Fast Features Tags: Voting Rights | felons | voting rights Voting Rights: 6 Reasons Ex-Felons Shouldn't Vote By Jerry Shaw | Wednesday, 15 April 2015 04:32 PMEmail Article | Contact | Print | A ATweet Opponents of giving voting rights to ex-felons may debate on when, if ever, they should be a",4976,56778773407903,1758203930605311
http://lifeatapria.com/our-company/,Our Company,"Our Company As the nation’s largest, most successful provider of home healthcare products and services, Apria helps thousands of Americans live healthier and feel better – every day. Through our trained professionals and clinicians, Apria offers a comprehensive product portfolio with a leading marke",4974,58406019123658,1758203931207311
http://ibguides.com/biology/notes/2.1-cell-theory,Cell theory,Cell theory2.1.1 Outline the cell theory. The cell theory states that: All living organisms are composed of cells. Multicellular organisms (example: humans) are composed of many cells while unicellular organisms (example: bacteria) are composed of only one cell. Cells are the basic unit of structure,4973,40278693214516,1758203929399311
http://www.dance-forums.com/threads/what-is-syncopation-anyway.1274/,"General Dance Discussion > What is syncopation, anyway?","""General Dance Discussion > What is syncopation, anyway? Page 1 of 21 2 Next >pygmalion Well-Known Member For the newbies and non music majors out there, could someone please explain the meaning of the term, syncopation, that we've been throwing around, from a dancer's perspective, please. No need t",4966,89521843805700,1758203928351311
http://www.empr.com/medical-news/which-antidepressants-are-linked-to-greater-hyponatremia-risk/article/370020/,Which Antidepressants Are Linked to Greater Hyponatremia Risk?," September 05, 2014Which Antidepressants Are Linked to Greater Hyponatremia Risk?the MPR take: Hyponatremia can be a potentially dangerous side effect of certain antidepressant medications. In a recent study published in the journal Psychosomatics, researchers review the incidence and odds ratios fo",4966,12119774062284,1758203930311311
http://www.sao.cjis20.org/victim_witness_rights.htm,Twentieth Judicial Circuit of Florida,About Us Prosecution Units Victim/Witness Services Worthless Checks Related Sites FAQCareer Opportunities Public Information Employee Access E-mail Service Guidelines In Memory Of Your rights in the Criminal and Juvenile Justice Systems If you are a victim of a crime or a witness because you have se,4963,81315375021586,1758203930931311
http://www.medicaretimeline.com/medicare-contract-codes/,Medicare-contract Codes,"""Medicare-contract Codes AARP health insurance plans (PDF download)Medicare replacement (PDF download)AARP Medicare Rx Plans United Healthcare (PDF download)medicare benefits (PDF download)medicare supplemental insurance (PDF download)medicare coverage (PDF download)medicare part d (PDF download)med",4958,16860048388965,1758203930047311
https://www.homefacts.com/city/California/Kings-County/Kettleman-City.html,"Kettleman City, California","Kettleman City, California Current Temperature 32 ° Population 1,291Kettleman City is located in Kings County, CA . The population is 1,291, making Kettleman City the 8th largest city in Kings County. There are 2 public schools in Kettleman City with an average Homefacts rating of C. The total crime",4958,96774135416320,1758203928061311
https://answers.yahoo.com/question/index?qid=20060618184708AAiHTAS,What is a 'hijra' (In India)?,"""Society & Culture Cultures & Groups Lesbian, Gay, Bisexual, and Transgendered What is a 'hijra' (In India)? I know it has something to do with cross dressers in india, but that's it... Follow 3 answers Answers Relevance Rating Newest Oldest Best Answer: From Wikipedia: """"In the culture of the India",4952,36146681509618,1758203929345311
http://healthdecisions.com/dependent-eligibility-audits,Dependent Eligibility Audits,"""Our Services > Dependent Eligibility Audits Health Decisions clients on average have removed 7% of dependents as a result of our Dependent Eligibility Audits. Dependent Eligibility Audits Health Decisions is a leading national firm in the area of dependent verification. Our proven high-quality, hig",4952,54423168780975,1758203930493311
http://wps.prenhall.com/wps/media/objects/3310/3390270/blb0302.html,3.2 Patterns of Chemical Reactivity,"3.2 Patterns of Chemical Reactivity Our discussion in Section 3.1 focused on how to balance chemical equations, given the reactants and products for the reaction. We did not try to say anything about the type of reaction or to predict the products. However, an introductory discussion now will help y",4950,20245854813091,1758203928905311
