query_id,query,relevant_doc,relevant_url,retrieved_id,retrieved_title,retrieved_url,retrieved_combined_text,retrieved_combined_distance,rank
7449937579264922656,man jailed as teen for decades paroled,265.0,https://en.wikipedia.org/wiki/Paul_Geidel,265,Paul Geidel,https://en.wikipedia.org/wiki/Paul_Geidel,"Paul Geidel ""From Wikipedia, the free encyclopedianavigation search Paul Geidel Jr. (April 21, 1894 – May 1, 1987) was the longest-serving prison inmate in the United States, whose sentence ended with his parole. After being convicted of second-degree murder in 1911, aged 17, Geidel served 68 years and 245 days",0.6746395230293274,1
,,,,544,"Harrison County Jail â Logan, IA",http://prisonhandbook.com/2210/harrison-county-jail-logan-ia/,"Harrison County Jail â Logan, IA Harrison County Jail – Logan, IAHarrison County Jail is located in Harrison County, Iowa and is the correctional facility for that county. Know someone at Harrison County Jail? This page will tell you about anything you might need to know about Harrison County Jail,such as: How to locate an inmate.",0.6851167678833008,2
-4451867579545616209,uk tier 4 study time limits,101.0,http://www2.warwick.ac.uk/study/international/immigration/tier4/length/5-year_cap_on,101,Time limits on UK study,http://www2.warwick.ac.uk/study/international/immigration/tier4/length/5-year_cap_on,"Time limits on UK study On 6 April 2012, the UKVI (Home Office UK Visas & Immigration) introduced limits as to how long a Tier 4 student would be permitted to stay in the UK studying at various levels (study cap).2-year-cap: for sub-degree level courses such as Warwick International Foundation programme, Diploma course and",0.3508377969264984,1
,,,,107,Tier 2 - Sponsorship by UK Companies,http://www.gherson.com/immigration/tier-2-visa/,"Tier 2 - Sponsorship by UK Companies Immigration Corporate Immigration Tier 1 - High net worth clients Tier 2 - Sponsorship by UK Companies Tier 4 - Students Tier 5 - Temporary Workers Visiting the UKWorking in the UKSports Immigration Send us an enquiry Contact Us For advice on immigration, nationality or human rights, please contact",0.4647214114665985,2
-1503001911077222079,how disposable diapers absorb moisture,1045.0,https://www.thoughtco.com/how-disposable-diapers-work-607891,1045,How Do Disposable Diapers Work? Why Do They Leak?,https://www.thoughtco.com/how-disposable-diapers-work-607891,"How Do Disposable Diapers Work? Why Do They Leak? ""Science, Tech, Math ›Science How Do Disposable Diapers Work? Why Do They Leak? Diaper Chemistry Share Flipboard Email Print Disposable diapers hold more water than they do other liquids. Stephanie Neal Photography/Getty Imagesby Anne Marie Helmenstine, Ph. D. Updated March 16, 2017Question: How Do",0.3904600143432617,1
,,,,495,How to Clean Underground Gutter Drains,http://homeguides.sfgate.com/clean-underground-gutter-drains-28281.html,"How to Clean Underground Gutter Drains ""Related Articles How to Put Downspouts Underground How to Drain Water From the Side of a House How to Unclog a Landscape Drain Pipe How to Clean Gutters That Have Mesh Covering Your home's main gutter system gathers rainwater from the roof line and controls its path down the house to ground; but th",0.7566777467727661,2
1402498322594253486,rubric for assessing student civic engagement,792.0,https://www.aacu.org/civic-engagement-value-rubric,792,Civic Engagement VALUE Rubric,https://www.aacu.org/civic-engagement-value-rubric,"Civic Engagement VALUE Rubric ""Civic Engagement VALUE Rubric The VALUE rubrics were developed by teams of faculty experts representing colleges and universities across the United States through a process that examined many existing campus rubrics and related documents for each learning outcome and incorporated additional feedbac",0.28293731808662415,1
,,,,996,Superintendents,http://www.doe.virginia.gov/teaching/performance_evaluation/superintendent/index.shtml,"Superintendents Performance & Evaluation Superintendents Board of Education Superintendent Performance Standards & Evaluation Criteria On September 27, 2012, the Board of Education approved the revised document, Guidelines for Uniform Performance Standards and Evaluation Criteria for Superintendents . The guideline",0.7164734601974487,2
-5489029373798190289,north plainfield court phone address,902.0,http://www.town-court.com/NJ/somerset-county/north-plainfield-municipal-court,902,North Plainfield Municipal Court,http://www.town-court.com/NJ/somerset-county/north-plainfield-municipal-court,"North Plainfield Municipal Court Menu Contact this court Find lawyers Get directions Read articles Nearby courts Corrections North Plainfield Municipal Court Phone 908-769-2265Map Google Map Mailing Address North Plainfield Municipal Court 263 Somerset Street, North Plainfield, NJ 07060Street Address 263 Somerset St, North Plainfie",0.19161807000637054,1
,,,,36,Receive the Latest Info!,http://www.cookcountyclerkofcourt.org/?section=DDPage&DDPage=2800,"Receive the Latest Info! District 2Building Name Second Municipal District Courthouse Address 5600 Old Orchard Road Room 136 Skokie , IL 60077Chief Deputy Clerk Sherri Kolodziej Assistant Chief Deputy Clerk Denise Shine Hours 8:30 a.m. to 4:30 p.m., Monday through Friday, Excluding Court Holidays Telephone Numbers (847) 470",0.7335729598999023,2
