id,url,title,description,frecency,url_hash,last_visit_date,last_visit_date_str
0,https://www.firefox.com/2025-09-29/1-3,2025-09-29 - 1/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,81350655954906,1759202210000,2025-09-29T23:16:50
1,https://www.firefox.com/2025-09-29/2-3,2025-09-29 - 2/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,68635146269783,1759132992000,2025-09-29T04:03:12
2,https://www.firefox.com/2025-09-29/3-3,2025-09-29 - 3/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,30202016872503,1759121678000,2025-09-29T00:54:38
3,https://www.firefox.com/2025-09-28/1-3,2025-09-28 - 1/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,23397416051340,1759068048000,2025-09-28T10:00:48
4,https://www.firefox.com/2025-09-28/2-3,2025-09-28 - 2/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,72234272660357,1759064098000,2025-09-28T08:54:58
5,https://www.firefox.com/2025-09-28/3-3,2025-09-28 - 3/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,72345082324530,1759061256000,2025-09-28T08:07:36
6,https://www.firefox.com/2025-09-27/1-3,2025-09-27 - 1/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,57481152613763,1758963889000,2025-09-27T05:04:49
7,https://www.firefox.com/2025-09-27/2-3,2025-09-27 - 2/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,66670097856478,1758959034000,2025-09-27T03:43:54
8,https://www.firefox.com/2025-09-27/3-3,2025-09-27 - 3/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,46377565076210,1759017082000,2025-09-27T19:51:22
9,https://www.firefox.com/2025-09-26/1-3,2025-09-26 - 1/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,26349372339402,1758870595000,2025-09-26T03:09:55
10,https://www.firefox.com/2025-09-26/2-3,2025-09-26 - 2/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,13980969436077,1758936597000,2025-09-26T21:29:57
11,https://www.firefox.com/2025-09-26/3-3,2025-09-26 - 3/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,76725089742629,1758914502000,2025-09-26T15:21:42
12,https://www.firefox.com/2025-09-25/1-3,2025-09-25 - 1/3,"Get Firefox for Windows, Mac or Linux. Firefox is a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy.",5000,8370425747083,1758776965000,2025-09-25T01:09:25
