query_id,query,relevant_doc,relevant_url,retrieved_id,retrieved_title,retrieved_url,retrieved_combined_text,retrieved_combined_distance,rank
868467014525489105,xenoblade x download size wii u,3133.0,http://nintendoeverything.com/xenoblade-chronicles-x-is-22-7gb/,3133,Xenoblade Chronicles X is 22.7GB,http://nintendoeverything.com/xenoblade-chronicles-x-is-22-7gb/,"Xenoblade Chronicles X is 22.7GB ""Xenoblade Chronicles X is 22.7GBPosted on February 6, 2015 by Brian ( @NE_Brian ) in News, Wii UXenoblade Chronicles X may ultimately end up as the Wii U’s largest game. Via a listing on the e Shop, it’s confirmed that the game takes up 22.7GB of space to download. Source Share this: Twitter Facebo",0.3340383470058441,1
,,,,3532,Dragon Ball Xenoverse 2,http://dragonball.wikia.com/wiki/Dragon_Ball_XenoVerse_2,"Dragon Ball Xenoverse 2 ""Dragon Ball Xenoverse 2Developer (s)Dimps Publisher (s)Bandai Namco Series Xenoverse series Engine Unreal Engine 4 [1]Havok (Physics) YEBIS 2 (Post-processing effects)Release date (s)JPNNovember 2, 2016NAOctober 25, 2016 Steam October 27, 2016 EU October 28, 2016 Worldwide (Switch) September 22, 20",0.5544697046279907,2
-3005729157067687074,how to use a superbill for insurance,2227.0,http://www.calnd.org/superbills,2227,Submitting Superbills,http://www.calnd.org/superbills,"Submitting Superbills ""Home Insurance For Patients Submitting Superbills Submitting Superbills Using Superbills for Reimbursement (For a downloadable version of this page, click here)What is a superbill? A superbill is a form completed by medical practitioners that allows patients to be reimbursed directly from their hea",0.19761553406715393,1
,,,,4104,What does contractor liability insurance cover?,http://www.answers.com/Q/What_is_contractors_liability_insurance,"What does contractor liability insurance cover? What does contractor liability insurance cover? Contractor liability insurance typically covers property damage andbodily injury. It also will cover products and completed operationsas well as personal and advertising injur …Insurance Plus 18,005 Contributionshttp://www.insuranceplus.org What is the",0.650716245174408,2
-1491185858307788462,role and structure of the un,3946.0,http://useconomy.about.com/od/internationalorganizations/p/United-Nations.htm,405,Centralized and Decentralized Organizational Structure,http://yourbusiness.azcentral.com/centralized-decentralized-organizational-structure-3785.html,Centralized and Decentralized Organizational Structure Centralized and Decentralized Organizational Structureby Billie Nordmeyer Related Articles Typical Organizational Structure of a Small Business In What Size Business Is the Simple Structure of Management Used? The Corporation Assumption of a Contract Task vs. Relationship Leadership Theories Adminis,0.6578068733215332,1
,,,,228,C Programming â Structures and Unions,http://www.exforsys.com/tutorials/c-language/c-structures-and-unions.html,"C Programming â Structures and Unions ""C Programming – Structures and Unions By Brian Moriya | on May 25, 2006 | Comments: C Language In this tutorial you will learn about C Programming – Structures and Unions, initializing structure, assigning values to members, functions and structures, passing structure to functions, passing entire f",0.7045353651046753,2
3357888737268209335,meaning of payload in networking,2357.0,http://www.pcmag.com/encyclopedia/term/48909/payload,2357,Encyclopedia,http://www.pcmag.com/encyclopedia/term/48909/payload,"Encyclopedia ""Encyclopedia Search Encyclopedia ABCDEFGHIJKLMNOPQRSTUVWXYZ0-9MISCDefinition of: payload (1) The """"actual data"""" in a packet or file minus all headers attached for transport and minus all descriptive meta-data. In a network packet, headers are appended to the payload for transport and then discarde",0.5657297968864441,1
,,,,2373,What is app transport security policy?,https://www.quora.com/What-is-app-transport-security-policy,"What is app transport security policy? App Transport Security (ATS) RE Apple i OS apps What is it? First introduced in i OS 9, App Transport Security forces apps to use better security protocols when accessing data from the internet. The biggest is enforcing a secure connection with https web addresses. Other more technical requirements",0.6884235739707947,2
-9195234932017292869,claim refund for late FedEx delivery,168.0,https://www.lampreysystems.com/fedexrefundonlinebillingadjustment/,168,How to Request a Refund from FedEx Online,https://www.lampreysystems.com/fedexrefundonlinebillingadjustment/,"How to Request a Refund from FedEx Online How to Request a Refund from Fed Ex Online Fed Ex's online refund system is currently broken. Check our Call-in Guide Facebook Twitter Google+ Linked In January 31, 2016Have a late package? If you have a late Fed Ex package, you may be entitled to a refund. First check these three key points to make",0.4403228163719177,1
,,,,1276,Same day delivery couriers - have your parcel collected within 60 minutes,https://www.myparceldelivery.com/hub/useful-stuff/delivery-services/same-day,Same day delivery couriers - have your parcel collected within 60 minutes Same day delivery couriers - have your parcel collected within 60 minutes No printer required for any same day delivery service£20 free compensation cover included365 days a year service Max parcel length and weight – 310cm x 150cm x150cmfrom only£19.39+VATYour delivery details... From Postcode To P,0.528703510761261,2
