url,search_query,combined_text
http://steinhardt.nyu.edu/appsych/chibps/marijuana,"marijuana effects, uses, and history",Substances â Marijuana Substances – Marijuana Marijuana 101History Appearance How is Marijuana used? Mixing Marijuana Marijuana and the Gay Community Marijuana 101: Marijuana’s main active ingredient is THC. This drug binds to cannabinoid receptors in the brain inducing the subsequent high that is experienced. Generally t
https://www.hebrewsurnames.com/KRUEGER,krueger surname origins and variants,"KRUEGER Genealogy KRUEGER Genealogy This is an open forum to discuss the origin, the meaning and the family stories of the surname KRUEGER. Both your knowledge and the oral tradition of the origin and meaning of this surname will be helpfull. Using the Daitch-Mokotoff Soundex Code we can obtain some variants of scrip"
http://news.nationalgeographic.com/news/2010/04/100406-new-earth-epoch-geologic-age-anthropocene/,is Earth in a new geologic epoch,"New Earth Epoch Has Begun, Scientists Say ""New Earth Epoch Has Begun, Scientists Say Welcome to the """"new man"""" age (official confirmation pending). Atomic bomb radiation signatures may help establish a start date for a new epoch. Photograph from US Navy via Time Life Pictures/Getty Images PUBLISHED April 6, 2010The older you get, the faste"
https://ttlc.intuit.com/questions/1895586-can-i-deduct-life-or-disability-insurance-premiums,tax deductibility of life and disability insurance,Can I deduct life or disability insurance premiums? Turbo Tax Answer Xchange Home Turbo Tax FAQLast modified 1 year ago708 people found this useful Can I deduct life or disability insurance premiums? Neither life insurance nor disability insurance premiums are deductible on your tax return. Refer to IRS Publication 502: Insurance Premiums (under the
http://www.catie.ca/en/fact-sheets/transmission/hiv-viral-load-hiv-treatment-and-sexual-hiv-transmission,can HIV treatment prevent sexual transmission,"HIV treatment and an undetectable viral load to prevent HIV transmission HIV treatment and an undetectable viral load to prevent HIV transmission Alphabetical fact sheet listing Categorized fact sheet listing Print-friendly PDFSummary It is now well known that the use of HIV treatment not only improves the health of people living with HIV, but is also a highly effective"
http://www.npr.org/sections/thesalt/2014/02/26/283030949/government-studies-suggest-bpa-exposure-from-food-isn-t-risky,are BPA levels from canned food risky,"Maybe That BPA In Your Canned Food Isn't So Bad After All ""Eating And Health Maybe That BPA In Your Canned Food Isn't So Bad After All Listen · 3:553:55Queue Download Embed Embed< iframe src=""""https://www.npr.org/player/embed/283030949/283066749"""" width=""""100%"""" height=""""290"""" frameborder=""""0"""" scrolling=""""no"""" title=""""NPR embedded audio player"""">Transcrip"
http://emedicine.medscape.com/article/815523-clinical,lithium toxicity symptoms and evaluation,"History History As with all toxic ingestions, it is important to determine the amount, time, co-ingestants, and reason for ingestion. Toxicity does not often correlate with the measured lithium level since clinical toxicity is affected by the type of the poisoning. Clinical features Three main categories of"
http://www.hiv.va.gov/patient/basics/what-is-HIV.asp,how hiv affects the immune system,"What is HIV? ""What is HIV? Basics HIV stands for the human immunodeficiency virus: H - Human. This virus infects human beings. I - Immunodeficiency. This virus attacks a person's immune system. The immune system is the body's defense against infections, such as bacteria and viruses. Once attacked by HIV, the imm"
http://www.answers.com/Q/What_is_the_Italian_word_for_grandmother,italian word meaning women,"What is 'italiane' when translated from Italian to English? ""Derdriu Marriner I am an arborist. Graduate study, travel, work make me an expert in benthics, European languages, wildlife mapping, world fauna and flora. What is 'italiane' when translated from Italian to English? """"Italians (females, women)"""" is a literal English equivalent of the Italian word i"
http://www.answers.com/Q/Can_you_produce_fertile_eggs_eight_years_after_a_partial_hysterectomy,ovaries still produce eggs after partial hysterectomy,Can you produce fertile eggs eight years after a partial hysterectomy? Answers.com ® Wiki Answers ® Categories Health Surgery and Hospitalization Hysterectomy Can you produce fertile eggs eight years after a partial hysterectomy? Flag Can you produce fertile eggs eight years after a partial hysterectomy? Answer by Raduga Confidence votes 46Yes - hyst. doesn't touch you
http://www.thefreedictionary.com/tentacle,what are animal tentacles used for,"tentacle ""tentacle Also found in: Thesaurus, Medical, Encyclopedia, Wikipedia .ten·ta·cle (tĕn′tə-kəl)n.1. Zoologya. An elongated flexible unsegmented extension, as one of those surrounding themouth of a sea anemone, used for feeling, grasping, or locomotion.b. One of these structures in a cephalopod, typica"
http://animaldiversity.org/accounts/Gorilla_gorilla/,western gorilla natural history,"Gorilla gorilla western gorilla (Also: western lowland gorilla) ""Gorilla gorilla western gorilla (Also: western lowland gorilla)Facebook Twitter By Rebecca Ann Csomos Geographic Range Habitat Physical Description Reproduction Lifespan/Longevity Behavior Communication and Perception Food Habits Predation Ecosystem Roles Economic Importance for Humans: Positive Ec"
http://www.newhealthadvisor.com/Lying-Down-After-Eating.html,is lying down after meals harmful,"Can You Lie Down Immediately After You Eat? Can You Lie Down Immediately After You Eat? It is important to follow a healthy diet to stay fit, but you may not be getting maximum health benefits after all the efforts you're putting in. This could be due to things you do in your daily routine that affects your digestion. One such mistake is to l"
http://www.womens-health-advice.com/stroke/recovery.html,how long to recover from stroke,"Stroke Recovery What Is The Average Recovery Time After Stroke? Many patients experience a spontaneous regain of lost abilities in the first month or so after a stroke. However the effects of stroke often require a person to relearn or change the way they live. There is no average stroke recovery time, as recovery"
https://www.researchgate.net/post/What_is_the_difference_between_marginalization_and_deprivation_in_the_context_of_poverty,marginalized vs deprived in poverty,"What is the difference between marginalization and deprivation in the context of poverty? ""Question Asked 4 years ago David Boansi15.46 University of Bonn What is the difference between marginalization and deprivation in the context of poverty? In poverty studies, some group are referred to as marginalized people and others as deprived people. I humbly would like to know the boundary bet"
http://www.botanical.com/botanical/mgmh/c/campho13.html,camphor uses and dosages,"Camphor ""Botanical.com Home Page Camphor (Cinnamomum camphora)Click on graphic for larger image Camphor Botanical: Cinnamonum camphora (T. NEES and EBERM.) Family: N. O. Lauraceae Description Medicinal Action and Uses Preparations and Dosages Steadman Shorter's Medical Dictionary, 1942, Poisons & Antidotes:"
http://www.eatingwell.com/recipe/248884/tofu-with-thai-curry-sauce/,creamy thai curry tofu recipe,"Tofu with Thai Curry Sauce Tofu with Thai Curry Sauce11 Reviews From: Eating Well Magazine, February/March 2005Creamy Thai curry sauce gives tofu a spicy, satisfying kick. You can adjust the amount of curry paste depending on your spice preference. Serve with brown basmati rice and lime wedges. By: Stacy Fraser Eating Well Re"
http://www.thesweetbeet.com/fermented-food/,benefits of friendly bacteria in food,"The Joy Of Bacteria ""The Joy Of Bacteria April 13, 2011 | 37 Comments As a general principle I believe in cleanliness. I support the ubiquitous, “ All employees must wash hands ” sign (though I suspect it’s more effective at pacifying diners than influencing behavior), I take my shoes off when I walk in the door and I"
http://www.fu-berlin.de/en/studium/information_a-z/zweitstudium/index.html,how to enroll in a second degree,"Second Courses of Study Second Courses of Study Definition of second course of study Admission to a second course of study in subjects with limited admissions (NC subjects)Applying Definition of second course of study When we speak of a second course of study or second academic program ( Zweitstudium ), we mean a second un"
