url,title,description,frecency,url_hash,last_visit_date
http://www.sidereel.com/tv-shows/degrassi-next-class/season-2,Degrassi: Next ClassSeason 2,What's Hot Today All Douglas Smith Joins Big Little Lies Dan Schneider Leaving Nickelodeon Ashley Tisdale Joining CBS Pilot Deadpool Animated Series Cancelled Gina Rodriguez To Star As Carmen Sandiego Queer Eye Picked Up For Second Season Rick And Morty Season 4 Delays Monty Python Is Moving To Netf,4998,75704716905684,1758203930599547
http://allrecipes.com/recipe/236990/chef-johns-barbecue-chicken/,Chef John's Barbecue Chicken,"""Home Recipes Everyday Cooking Watch Chef John's Barbecue Chicken461 made it | 76 reviews53KRecipe by: Chef John""""When it comes to barbecued chicken, everyone wants that nice thick glaze of sauce attached to the skin, and the only way to do it, is brush it on as it cooks. Therein lies the problem. B",4988,67692325161790,1758203930071547
http://goaskalice.columbia.edu/answered-questions/losing-fupa-weight,"""Losing """"FUPA"""" weight""","""Dear Alice,I am a male and I have a large """"fupa"""".... or a lot of fat above my penis/genital area. What is the best way I can lose this weight? I've tried exercising and dieting, but nothing seems to help me lose that. I lose it everywhere else but there.— Wanna be skinny Dear Wanna be skinny,""""FU",4987,67416481574130,1758203929639547
http://songmeanings.com/songs/view/4432/,Natalie Imbruglia â Torn,"""Natalie Imbruglia – Torn130 Comments 0 Tags""""Torn"""" was originally written by Preven, and recorded by Ednaswap in 1995 for their self-titled album. The song was covered several times, the most widely known version by Natalie Imbruglia for her 1997 album, """"Left... Read More... Edit Wiki I thought I",4985,79333619417394,1758203931269547
http://www.answers.com/Q/What_nationality_was_Saint_Valentine,When did Saint Valentine become a saint?,William Howe The purpose of life is to have a life with purpose. When did Saint Valentine become a saint? St. Valentine is a pre-congregational saint. At the time he died there was no official formal procedure for canonization. He would have been acclaimed a saint by those who kne …Richard 90 766 Co,4983,31156702798942,1758203931085547
http://www.semidelicatebalance.com/2015/05/29/10-airlines-that-offer-military-discounts/,10 Airlines that Offer Military Discounts,"Military PCS10 Airlines that Offer Military Discounts Military families can accumulate a lot of miles traveled during military life. Where it be for PCS moves, visiting home for the holidays, or just vacations, flying is a great way to get from point A to point B quickly. Space A (space available) f",4979,19530020463987,1758203931995547
http://www.medindia.net/patients/calculators/daily-calorie-requirement-for-age-lifestyle.asp,Daily Calorie Requirement for Age and Lifestyle,Daily Calorie Requirement for Age and Lifestyle Developed by Medindia Content Team | Calculator reviewed by The Medindia Medical Review Team Average 4.2Rating : 1 2 3 4 5 Rate This Article : 1 2 3 4 5English Hindi Font : A- A+Are you eating the right amount of calories? Use our nutritional utility t,4979,28191302832905,1758203931493547
http://www.theodoreroosevelt.org/site/c.elKSIdOWIiJ8H/b.8090799/k.C003/Home.htm,Keeping the Spirit Alive,"Keeping the Spirit Alive The Theodore Roosevelt Association is a historical and public service organization dedicated to perpetuating the memory and ideals of Theodore Roosevelt. While looking back at Roosevelt’s life, times, and legacy, we have our sights on the future through programs that recogni",4977,21119326404520,1758203931365547
http://allrecipes.com/recipe/9516/whipped-shortbread-cookies/,Whipped Shortbread Cookies,"""Home Recipes Desserts Cookies Butter Cookies Shortbread Cookies Whipped Shortbread Cookies742 made it | 482 reviews26Recipe by: William Anatooskin""""A festive melt in your mouth cookie, and very easy to make. """"Save I Made It Print Pin Share Ingredients35 m 36 75On Sale What's on sale near you. We'r",4975,67891673094658,1758203931927547
http://www.theveganwoman.com/is-vegan-food-more-expensive-a-guide-to-eating-vegan-on-a-budget/,Is Vegan Food More Expensive? A Guide to Eating Vegan on a Budget,"Is Vegan Food More Expensive? A Guide to Eating Vegan on a Budget Posted in: Food & Recipes | November 8, 2013 at 7:56 pm One of the most popular arguments against veganism is the perceived cost of vegan food. Many people will use the excuse, “I would go vegan, but it’s just so expensive,” or “Where",4971,66254033286004,1758203932099547
https://www.poconomountains.com/about-the-pocono-mountains/weather/,Poconos Weather,"""Poconos Weather The Pocono Mountains experiences four distinct seasons......white winters, crisp springs, balmy summers and colorful autumns - with a unique climate and corresponding outdoor activities for each. The average annual snowfall is about 50"""" and the hottest day rarely exceeds 90 degrees",4970,15780906982402,1758203931791547
https://www.tripadvisor.com/Restaurant_Review-g42080-d969602-Reviews-Beach_Bar-Clarklake_Michigan.html,Beach Bar,"""Clarklake JOINAbout Clarklake Hotels Vacation Rentals Flights Restaurants Things to do Beach Bar, Clarklake United States Michigan (MI) Clarklake Clarklake Restaurants Beach Bar Beach Bar Is this your business?87 Reviews #1 of 4 Restaurants in Clarklake $$ - $$$ American, Bar, Pizza3509 Ocean Beach",4969,2812740888788,1758203932209547
http://www.auntyflo.com/dream-dictionary/swimming,Swimming Dream Meaning,"Uncover Hidden Dream Meanings Swimming. There are many factors within this dream to consider. For example, if you are swimming and enjoying the experience, then you feel your life is secure, and you feel loved. If the water is crystal blue, then you are beginning to evaluate your life, and work towa",4966,80008944320712,1758203930907547
https://en.wikipedia.org/wiki/Kink_(Sexual),Kink (sexual),"""From Wikipedia, the free encyclopedia (Redirected from Kink (Sexual))navigation search This article is about sexuality and sexuality related concepts. For other uses, see Kink (disambiguation). On the set of a Kink porn film in San Francisco. In human sexuality, kinkiness is the use of un conventio",4955,45121998491154,1758203930263547
https://www.brainpickings.org/2012/05/11/internal-time-till-roenneber/,"The Science of Internal Time, Social Jet Lag, and Why Youâre So Tired","The Science of Internal Time, Social Jet Lag, and Why You’re So Tired Debunking the social stigma around late risers, or what Einstein has to do with teens’ risk for smoking. By Maria Popova“Six hours’ sleep for a man, seven for a woman, and eight for a fool,” Napoleon famously prescribed. (He would",4955,93934025006860,1758203931519547
https://www.paypal.com/us/selfhelp/article/How-do-I-issue-a-full-or-partial-refund-FAQ780,How do I issue a full or partial refund?,"""How do I issue a full or partial refund? Personal Business You can issue a full or partial refund up to 180 days after you receive a payment as long as its status is """"Completed,"""" """"Pending,"""" or """"Cleared. """"Here's how to refund a payment: Click Activity near the top of the page. Click the paymen",4954,66962912269309,1758203932089547
http://www.thinkbabynames.com/meaning/1/Fowler,What does Fowler mean?,"""What does Fowler mean? Fowler as a boys' name is of Old English origin, and the meaning of Fowler is """"bird trapper"""". Occupational name. Also form of Falco. ENDS WITH -er ASSOCIATED WITH old english, bird, trapper (hunter), occupational Variations CREATIVE FORMS (male) (female)MIDDLE NAME PAIRINGS",4950,81591093261458,1758203930951547
