query_id,retrieval_1_id,retrieval_1_title,retrieval_1_url,retrieval_1_combined_text,retrieval_1_distance,retrieval_2_id,retrieval_2_title,retrieval_2_url,retrieval_2_combined_text,retrieval_2_distance,retrieved_ids,retrieved_distances,model_name,query,relevant_docs,relevant_urls,k
-8685302812503413692,824,Oscar Snubs and Surprises,https://www.nytimes.com/2017/01/24/movies/oscar-snubs-2017.html,"Oscar Snubs and Surprises Movies Oscar Snubs and Surprises By CARA BUCKLEY JAN. 24, 2017As predicted, “La La Land” led the Oscar nominations announced Tuesday, with 14 nods, but the list was also filled with snubs and surprises, especially in the best actress category, which has been the most competitive this season. Emma St",0.5252730250358582,3488,The Oscar Nominations â Will Lady Bird soar and Shape of Water Sink?,http://fox5sandiego.com/2018/01/23/the-oscar-nominations-will-lady-bird-soar-and-shape-of-water-sink/,"The Oscar Nominations â Will Lady Bird soar and Shape of Water Sink? Another list of Oscar nominees, and another story on me griping about it. I’ll start with the people reading the nominations. Nice to see Andy Serkis up there with Tiffany Haddish, but would it have killed her to learn how to pronounce ALL the names of the possible nominees? I thought after John Tra",0.5391644835472107,"[824, 3488]","[0.5252730250358582, 0.5391644835472107]",Xenova/all-MiniLM-L6-v2,did marilyn monroe ever win an oscar,[3259],['http://www.answers.com/Q/How_many_Academy_Awards_did_Marilyn_Monroe_win'],2
2904803560628508330,4371,Princess & Superhero Cakes,https://www.cakemade.com/,"Princess & Superhero Cakes Princess & Superhero Cakeswith Avalon Yarnes How adorable — not to mention impressive — are these cakes? You don’t have to love manga and anime to be blown away by these cartoony characters with oversized heads, a style known as chibi. Let Avalon teach you how to make them for the little superhero o",0.620958685874939,1881,What is a buche de noel?,http://www.answers.com/Q/What_is_a_buche_de_noel,"What is a buche de noel? ""Answers.com ® Wiki Answers ® Categories Food & Cooking Baking What is a buche de noel? Flag What is a buche de noel? Answered by The Wiki Answers ®Community Answers.com ® is making the world better one answer at a time. It means a Christmas log and it should be spelt - la bûche de Noël Buche du Noe",0.6673510074615479,"[4371, 1881]","[0.620958685874939, 0.6673510074615479]",Xenova/all-MiniLM-L6-v2,what is a yule log cake,[1881],['http://www.answers.com/Q/What_is_a_buche_de_noel'],2
-5464557265285637327,1010,How to Do String Art,http://www.wikihow.com/Do-String-Art,"How to Do String Art In a Hurry? In a Hurry? Watch this video To do string art on canvas or wood, cut out a design from a piece of paper and attach it to your surface. You can also use a pre-made stencil. Hammer pins or nails into your surface along the edge of your design. Remove your paper or stencil once you have all",0.35266348719596863,3439,"""Create a """"Minion"""" Character From the Despicable Me Movie""",https://design.tutsplus.com/tutorials/create-a-minion-character-from-the-despicable-me-movie--psd-11450,"""Create a """"Minion"""" Character From the Despicable Me Movie"" ""by Mirko Santangelo 24 Jan 2011 Difficulty: Intermediate Length: Long Languages: Drawing Adobe Photoshop Adobe Illustrator Let’s face it, those minion characters from Despicable Me were pretty darned cute. In today’s tutorial, we will use Photoshop and Illustrator to create a cute minion character.",0.5801898241043091,"[1010, 3439]","[0.35266348719596863, 0.5801898241043091]",Xenova/all-MiniLM-L6-v2,quick DIY string art tutorial,[1010],['http://www.wikihow.com/Do-String-Art'],2
-1504263225438290123,3758,A Master Builder,https://en.wikipedia.org/wiki/A_Master_Builder,"A Master Builder ""A Master Builder From Wikipedia, the free encyclopedianavigation search A Master Builder Directed by Jonathan Demme Written by Wallace Shawn Based on The Master Builder by Henrik Ibsen Starring Wallace Shawn Julie Hagerty Andre Gregory Cinematography Declan Quinn Edited by Tim Squyres Release date",0.5149297118186951,3908,Gene Hackman,http://www.movies.com/actors/gene-hackman/p282189,Gene Hackman Main Biography Movies Photos Awards Photos All Gene Hackman photos Movies Loose Cannons as Mac Stern Welcome to Mooseport as Monroe Cole Runaway Jury as Rankin Fitch Behind Enemy Lines as Reigart Heist as Joe Moore All Gene Hackman films NEWSToday in Movie Culture: 'Ant-Man and the Wasp' Easter Eggs,0.6226636171340942,"[3758, 3908]","[0.5149297118186951, 0.6226636171340942]",Xenova/all-MiniLM-L6-v2,ibsen play film starring wallace shawn,[3758],['https://en.wikipedia.org/wiki/A_Master_Builder'],2
-5147810236135226111,1580,Tax Strategies: Tax-Deferred Annuities,http://www.prudential.com/view/page/public/12609?param=12624,"Tax Strategies: Tax-Deferred Annuities ""Tax Strategies: Tax-Deferred Annuities Investments / Tax Strategies: Tax-Deferred Annuities Skip to: As you approach retirement, you will be faced with the need for a secure source of income. If you are looking toward retirement, you may want to consider annuities as an integral part of your financ",0.3169310390949249,4206,What is an Annuity and How does it Work?,http://personaldividends.com/what-is-an-annuity-and-how-does-it-work/,"What is an Annuity and How does it Work? What is an Annuity and How does it Work?by Miranda | Finance, Investing, Retirement | 12 comments Tweet Share Share Source: sxc.hu Photo: forwardcom Thanks to the recent stock market crash, and the subsequent losses many have seen in their retirement plans, annuities are gaining in popularity. Annui",0.45762065052986145,"[1580, 4206]","[0.3169310390949249, 0.45762065052986145]",Xenova/all-MiniLM-L6-v2,how annuities defer taxes in retirement,[1580],['http://www.prudential.com/view/page/public/12609?param=12624'],2
-131554694086328002,1738,Symptoms of Subcutaneous lupus erythematosus psoariasiform type,http://www.rightdiagnosis.com/s/subcutaneous_lupus_erythematosus_psoariasiform_type/symptoms.htm,Symptoms of Subcutaneous lupus erythematosus psoariasiform type Symptoms of Subcutaneous lupus erythematosus psoariasiform type Intro Symptoms Types Causes Tests Treatment Misdiagnosis Videos Doctors Must Reads in Health Protecting Your Skin During Winter Watch: My Personal Psoriasis Journey Are You Getting The Best Cancer Care? Keeping An Active Lifestyle With,0.4434606432914734,3629,Xeroderma pigmentosum,http://www.rightdiagnosis.com/medical/xeroderma_pigmentosum.htm,"Xeroderma pigmentosum ""Xeroderma pigmentosum Must Reads in Health Protecting Your Skin During Winter Watch: My Personal Psoriasis Journey Are You Getting The Best Cancer Care? Keeping An Active Lifestyle With COPDLiver Disease? Find a Doc Who Treats PBCAre You Allergic To Your Clothes? Why Psoriasis Treatments Can Fail I",0.5239048600196838,"[1738, 3629]","[0.4434606432914734, 0.5239048600196838]",Xenova/all-MiniLM-L6-v2,lupus causing psoriasis-like skin lesions,[1738],['http://www.rightdiagnosis.com/s/subcutaneous_lupus_erythematosus_psoariasiform_type/symptoms.htm'],2
5972815182421535010,1057,Parking Fury 3,https://www.coolmath-games.com/0-parking-fury-3,Parking Fury 3 Parking Fury 3You'll Also Like... Subscribe-to-unlock Just a moment while your game loads Continue in 15Instructions Use WASD or the arrow keys to drive your car. Follow the arrows and stop in the yellow parking space. Be careful not to crash into walls or vehicles!Coolmath top picks Clicker Heroes,0.4453114867210388,1430,REVEALED: The Odds That You'll Win A Toy Playing The 'Claw' Arcade Game,http://www.businessinsider.com/revealed-here-are-the-odds-that-youll-win-a-toy-playing-the-claw-arcade-game-2012-8,"REVEALED: The Odds That You'll Win A Toy Playing The 'Claw' Arcade Game ""REVEALED: The Odds That You'll Win A Toy Playing The 'Claw' Arcade Game Nicholas Carlson Aug. 27, 2012, 4:32 PM 17,291Over on Quora, the question was asked: """"How do the Claw crane 'arcade game' machines work? """"The answer!Read Quote of Zach Baker's answer to Arcade Games: How do the Claw crane 'ar",0.577735960483551,"[1057, 1430]","[0.4453114867210388, 0.577735960483551]",Xenova/all-MiniLM-L6-v2,park car arcade game arrow keys,[1057],['https://www.coolmath-games.com/0-parking-fury-3'],2
-2065846470034168057,2630,Whats the definition of a CLASSY WOMEN?,https://answers.yahoo.com/question/index?qid=20080607145307AAhwGLi,"Whats the definition of a CLASSY WOMEN? ""Society & Culture Etiquette Whats the definition of a CLASSY WOMEN? I was told I was a very classy person. And they weren't just talking about how I dress. It was something else...is it being respectful? mature? elegant? manners? the way I think? how? not sure what they meant. Just curious becomes",0.25283220410346985,2412,Masculinity-Femininity: Society's Difference Dividend,http://web2.airmail.net/ktrig246/out_of_cave/mf.html,"Masculinity-Femininity: Society's Difference Dividend ""What’s really happening between women and men in contemporary America? Society loves to say """"You’ve come a long way, baby"""" whenever an individual woman rises to the top of a """"male"""" profession. It also enjoys turning househusbands into afternoon talk show guests. However, the stunning popularity",0.5360891819000244,"[2630, 2412]","[0.25283220410346985, 0.5360891819000244]",Xenova/all-MiniLM-L6-v2,what makes a woman classy,[2630],['https://answers.yahoo.com/question/index?qid=20080607145307AAhwGLi'],2
-7591258421324119573,3386,What Is the Average Bowling Score?,https://www.reference.com/sports-active-lifestyle/average-bowling-score-403a6d6b532bf467,"What Is the Average Bowling Score? ""Sports & Active Lifestyle Classic Sports Q: What Is the Average Bowling Score? A: Quick Answer The average bowling score when looking at all of the possibilities in the game is a 77-79 score. All average scores, however, are dependent upon the skill of the players playing as the average changes dep",0.24780696630477905,1083,Why Does It Take 12 Strikes to Reach 300 in Bowling?,https://www.thoughtco.com/why-does-it-take-12-strikes-to-reach-300-420914,"Why Does It Take 12 Strikes to Reach 300 in Bowling? Arts, Music, and Recreation ›Sports Why Does It Take 12 Strikes to Reach 300 in Bowling? Ten Frames in Bowling—Plus Those Extra Two Shots Share Flipboard Email Print Gerwin Sturm/Flickr/CC BY-SA 2.0by Jef Goodger Updated August 03, 2017Most people who've ever bowled know that there are 10 frames in",0.43819504976272583,"[3386, 1083]","[0.24780696630477905, 0.43819504976272583]",Xenova/all-MiniLM-L6-v2,typical bowling score for casual players,[3386],['https://www.reference.com/sports-active-lifestyle/average-bowling-score-403a6d6b532bf467'],2
5836278609414471077,3855,Boardwalk Rides and Events Calendar,https://beachboardwalk.com/Hours,"Boardwalk Rides and Events Calendar ""Home Hours Boardwalk Rides and Events Calendar View Arcades Hours«April 2018»Sun Mon Tue Wed Thu Fri Sat25Rides Open 11am - 8pm Palm Sunday26Rides Open 11am - 6pm27Rides Open 11am - 6pm28Rides Open 11am - 6pm29Rides Open 11am - 6pm30Rides Open 11am - 8pm31Rides Open 11am - 8pm1Rides Open 11am - 8pm",0.5244609713554382,4485,Crossgates Mall no longer sells Gift Cards,https://www.shopcrossgates.com/,"Crossgates Mall no longer sells Gift Cards 110 Grill Restaurant Opening this Summer ZARA NOW OPENLEARN MORETrampoline Park GET AIR Coming Soon!Crossgates Mall no longer sells Gift Cards Click here to check your balance EAT Shop Play Eat. Shop. Play. at Crossgates Mall, the Capital Region’s premier destination. With more than 180 retail shops",0.5369510650634766,"[3855, 4485]","[0.5244609713554382, 0.5369510650634766]",Xenova/all-MiniLM-L6-v2,rockaway mall hours and stores,[4152],['http://www.simon.com/mall/rockaway-townsquare'],2
