query_id,query,relevant_doc,relevant_url,retrieved_id,retrieved_title,retrieved_url,retrieved_combined_text,retrieved_combined_distance,rank
-8130860034166629089,"marijuana effects, uses, and history",1565.0,http://steinhardt.nyu.edu/appsych/chibps/marijuana,1565,Substances â Marijuana,http://steinhardt.nyu.edu/appsych/chibps/marijuana,Substances â Marijuana Substances – Marijuana Marijuana 101History Appearance How is Marijuana used? Mixing Marijuana Marijuana and the Gay Community Marijuana 101: Marijuana’s main active ingredient is THC. This drug binds to cannabinoid receptors in the brain inducing the subsequent high that is experienced. Generally t,0.3421667218208313,1
,,,,528,How long does marijuana edibles stay in you system?,https://answers.yahoo.com/question/index?qid=20111102183940AAZJsOH,"How long does marijuana edibles stay in you system? Health Other - Health How long does marijuana edibles stay in you system? So i only ate 1 marijuana edible and it didnt hit me, prior to that i havent done any weed of any sort for 8 months, so i was clean, how long will it take to get out of my body? only one weed edible and it didnt hit me, and i",0.537955105304718,2
2087727596365216316,krueger surname origins and variants,1419.0,https://www.hebrewsurnames.com/KRUEGER,1419,KRUEGER Genealogy,https://www.hebrewsurnames.com/KRUEGER,"KRUEGER Genealogy KRUEGER Genealogy This is an open forum to discuss the origin, the meaning and the family stories of the surname KRUEGER. Both your knowledge and the oral tradition of the origin and meaning of this surname will be helpfull. Using the Daitch-Mokotoff Soundex Code we can obtain some variants of scrip",0.309611052274704,1
,,,,3013,GUYER Genealogy,http://www.hebrewsurnames.com/GUYER,"GUYER Genealogy GUYER Genealogy This is an open forum to discuss the origin, the meaning and the family stories of the surname GUYER. Both your knowledge and the oral tradition of the origin and meaning of this surname will be helpfull. Using the Daitch-Mokotoff Soundex Code we can obtain some variants of scripture",0.5598743557929993,2
-5640670400807788292,is Earth in a new geologic epoch,4001.0,http://news.nationalgeographic.com/news/2010/04/100406-new-earth-epoch-geologic-age-anthropocene/,513,Geologic Processes,http://science.howstuffworks.com/environmental/earth/geology/geologic-processes.htm,"Geologic Processes ""How Stuff Works Science Environmental Science Earth Science Geology Geologic Processes Geologic Processes Geological processes have helped to create many iconic features on Earth. Processes, such as plate tectonics, are what shapes the face of the Earth. Here you can discover the power of geologica",0.33704251050949097,1
,,,,4001,"New Earth Epoch Has Begun, Scientists Say",http://news.nationalgeographic.com/news/2010/04/100406-new-earth-epoch-geologic-age-anthropocene/,"New Earth Epoch Has Begun, Scientists Say ""New Earth Epoch Has Begun, Scientists Say Welcome to the """"new man"""" age (official confirmation pending). Atomic bomb radiation signatures may help establish a start date for a new epoch. Photograph from US Navy via Time Life Pictures/Getty Images PUBLISHED April 6, 2010The older you get, the faste",0.3831203281879425,2
8203754308477614073,tax deductibility of life and disability insurance,1074.0,https://ttlc.intuit.com/questions/1895586-can-i-deduct-life-or-disability-insurance-premiums,1074,Can I deduct life or disability insurance premiums?,https://ttlc.intuit.com/questions/1895586-can-i-deduct-life-or-disability-insurance-premiums,Can I deduct life or disability insurance premiums? Turbo Tax Answer Xchange Home Turbo Tax FAQLast modified 1 year ago708 people found this useful Can I deduct life or disability insurance premiums? Neither life insurance nor disability insurance premiums are deductible on your tax return. Refer to IRS Publication 502: Insurance Premiums (under the,0.2453295886516571,1
,,,,2285,DEFINITION of 'Disability Insurance',http://www.investopedia.com/terms/d/disability-insurance.asp,"DEFINITION of 'Disability Insurance' DEFINITION of 'Disability Insurance'A program managed by the Social Security Administration that insures a worker in case of a mishap. Disability insurance offers income protection to individuals who become disabled for a long period of time, and as a result can no longer work during that time perio",0.4941871762275696,2
-900548525162137917,can HIV treatment prevent sexual transmission,3235.0,http://www.catie.ca/en/fact-sheets/transmission/hiv-viral-load-hiv-treatment-and-sexual-hiv-transmission,3235,HIV treatment and an undetectable viral load to prevent HIV transmission,http://www.catie.ca/en/fact-sheets/transmission/hiv-viral-load-hiv-treatment-and-sexual-hiv-transmission,"HIV treatment and an undetectable viral load to prevent HIV transmission HIV treatment and an undetectable viral load to prevent HIV transmission Alphabetical fact sheet listing Categorized fact sheet listing Print-friendly PDFSummary It is now well known that the use of HIV treatment not only improves the health of people living with HIV, but is also a highly effective",0.2785702645778656,1
,,,,1278,What is HIV?,https://www.healthline.com/health/hiv-aids/hiv-symptoms-timeline,"What is HIV? What is HIV? HIV is a virus that compromises the immune system. There’s currently no cure for it, but there are treatments available to reduce its effects on people’s lives. In the majority of cases, once HIV infection takes hold, the virus stays in the body for life. However, unlike what may occur",0.3820016384124756,2
-3032744579516519155,are BPA levels from canned food risky,1257.0,http://www.npr.org/sections/thesalt/2014/02/26/283030949/government-studies-suggest-bpa-exposure-from-food-isn-t-risky,1257,Maybe That BPA In Your Canned Food Isn't So Bad After All,http://www.npr.org/sections/thesalt/2014/02/26/283030949/government-studies-suggest-bpa-exposure-from-food-isn-t-risky,"Maybe That BPA In Your Canned Food Isn't So Bad After All ""Eating And Health Maybe That BPA In Your Canned Food Isn't So Bad After All Listen · 3:553:55Queue Download Embed Embed< iframe src=""""https://www.npr.org/player/embed/283030949/283066749"""" width=""""100%"""" height=""""290"""" frameborder=""""0"""" scrolling=""""no"""" title=""""NPR embedded audio player"""">Transcrip",0.5463080406188965,1
,,,,988,"""What is a list of non-gassy foods I """"should"""" be eating.?""",https://answers.yahoo.com/question/index?qid=20110413043310AA82uvC,"""What is a list of non-gassy foods I """"should"""" be eating.?"" ""Food & Drink Other - Food & Drink What is a list of non-gassy foods I """"should"""" be eating.? I have gas problems, I'm always changing my diet to figure out if it is coming from my food. (Which I'm obvious its not) I been eating very unhealthy for the past 4-5 years, I always ate the same exact thin",0.6524006128311157,2
-7619431487025322248,lithium toxicity symptoms and evaluation,3206.0,http://emedicine.medscape.com/article/815523-clinical,3206,History,http://emedicine.medscape.com/article/815523-clinical,"History History As with all toxic ingestions, it is important to determine the amount, time, co-ingestants, and reason for ingestion. Toxicity does not often correlate with the measured lithium level since clinical toxicity is affected by the type of the poisoning. Clinical features Three main categories of",0.5010532140731812,1
,,,,4162,Can I Take Seroquel While Pregnant?,http://bipolar-disorder.emedtv.com/seroquel/can-i-take-seroquel-while-pregnant.html,"Can I Take Seroquel While Pregnant? ""Bipolar Disorder Channel Topics & Medications Bipolar Disorder Abilify Adasuve Asenapine Depakote Equetro Eskalith Geodon Lamotrigine Lithium Lithobid Risperidone Seroquel Symbyax Advertisement Quicklinks Bipolar Disorder Bipolar Disorder Symptoms Bipolar Disorder Treatment Bipolar Medications Bipo",0.5839579105377197,2
-2684221510351486914,how hiv affects the immune system,3309.0,http://www.hiv.va.gov/patient/basics/what-is-HIV.asp,1278,What is HIV?,https://www.healthline.com/health/hiv-aids/hiv-symptoms-timeline,"What is HIV? What is HIV? HIV is a virus that compromises the immune system. There’s currently no cure for it, but there are treatments available to reduce its effects on people’s lives. In the majority of cases, once HIV infection takes hold, the virus stays in the body for life. However, unlike what may occur",0.2723170816898346,1
,,,,3309,What is HIV?,http://www.hiv.va.gov/patient/basics/what-is-HIV.asp,"What is HIV? ""What is HIV? Basics HIV stands for the human immunodeficiency virus: H - Human. This virus infects human beings. I - Immunodeficiency. This virus attacks a person's immune system. The immune system is the body's defense against infections, such as bacteria and viruses. Once attacked by HIV, the imm",0.30821970105171204,2
5062268303196791909,italian word meaning women,4428.0,http://www.answers.com/Q/What_is_the_Italian_word_for_grandmother,4428,What is 'italiane' when translated from Italian to English?,http://www.answers.com/Q/What_is_the_Italian_word_for_grandmother,"What is 'italiane' when translated from Italian to English? ""Derdriu Marriner I am an arborist. Graduate study, travel, work make me an expert in benthics, European languages, wildlife mapping, world fauna and flora. What is 'italiane' when translated from Italian to English? """"Italians (females, women)"""" is a literal English equivalent of the Italian word i",0.40883925557136536,1
,,,,4347,"""What does the slang word """"bougie"""" mean?""",https://answers.yahoo.com/question/index?qid=20070129080343AAcacNp,"""What does the slang word """"bougie"""" mean?"" ""Education & Reference Words & Wordplay What does the slang word """"bougie"""" mean? An afro american woman I work with referred to me as """"bougie"""" the other day. What does that mean?2 following 6 answers Answers Relevance Rating Newest Oldest Best Answer: Bougie: Aspiring to be a higher class than on",0.6927754878997803,2
